@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R6

@attribute age {YOUNG,MIDDLE,OLD}
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {LOW,MEDIUM,HIGH}
@attribute married {YES,NO}
@attribute children {NONE,ONE,TWO,THREE_OR_MORE}
@attribute car {YES,NO}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
MIDDLE,?,INNER_CITY,LOW,?,ONE,?,NO,NO,NO,YES
MIDDLE,MALE,TOWN,MEDIUM,YES,THREE_OR_MORE,?,NO,YES,YES,NO
OLD,FEMALE,INNER_CITY,?,?,NONE,YES,YES,YES,?,NO
YOUNG,?,TOWN,LOW,YES,THREE_OR_MORE,NO,NO,YES,NO,NO
OLD,FEMALE,RURAL,?,?,NONE,NO,YES,NO,NO,NO
?,FEMALE,TOWN,MEDIUM,YES,TWO,NO,?,?,NO,YES
YOUNG,MALE,RURAL,LOW,NO,?,NO,NO,YES,NO,YES
OLD,MALE,TOWN,?,YES,NONE,YES,YES,YES,?,NO
MIDDLE,FEMALE,SUBURBAN,MEDIUM,YES,TWO,YES,NO,NO,?,NO
OLD,?,TOWN,LOW,YES,?,YES,?,YES,NO,NO
OLD,FEMALE,TOWN,HIGH,?,NONE,NO,YES,YES,NO,NO
?,FEMALE,INNER_CITY,?,?,NONE,YES,YES,YES,YES,NO
MIDDLE,FEMALE,?,LOW,?,ONE,NO,?,?,YES,YES
OLD,FEMALE,?,?,?,ONE,YES,YES,YES,YES,YES
?,MALE,RURAL,?,YES,NONE,NO,YES,YES,YES,NO
MIDDLE,FEMALE,INNER_CITY,?,YES,NONE,YES,?,YES,YES,NO
?,FEMALE,TOWN,LOW,YES,TWO,NO,NO,?,YES,NO
MIDDLE,FEMALE,SUBURBAN,MEDIUM,?,NONE,NO,YES,NO,YES,NO
